Subsystem,Function,Net,ESP32-S3 GPIO,DevKit header pin,Direction,Voltage domain,Shared bus or conflict rule,Required test access,Evidence basis
Controls,Brightness switch,BRIGHTNESS_N,41,J3-7,input,3.3 V,Post-U3 active-low output; raw switch is 5V wetted; separated side/rear actuator,TP_BRIGHTNESS,Omron B3F and TI SN74LVC14A datasheets
Service,UART0 transmit,U0TXD,43,J3-2,output,3.3 V,Reserved for service console; not a user connector,TP_U0TXD,Espressif v1.1 user guide
Service,UART0 receive,U0RXD,44,J3-3,input,3.3 V,Reserved for service console; not a user connector,TP_U0RXD,Espressif v1.1 user guide
Service,Native USB D-,USB_D-,19,J3-20,bidirectional,USB,Reserved for native USB; no carrier load,DevKit service connector only,Espressif v1.1 user guide
Service,Native USB D+,USB_D+,20,J3-19,bidirectional,USB,Reserved for native USB; no carrier load,DevKit service connector only,Espressif v1.1 user guide
Service,Reset,CHIP_PU,,J1-3,input,3.3 V,Reserved reset; add named pad,TP_EN,Espressif v1.1 user guide
Reserved,Boot strap,GPIO0,0,J3-14,input/output,3.3 V,Do not allocate to application controls,DevKit BOOT button,Espressif ESP32-S3 datasheet and user guide
Reserved,Strapping pin,GPIO3,3,J1-13,input/output,3.3 V,Do not allocate in Rev A,No carrier connection,Espressif ESP32-S3 datasheet
Reserved,Strapping pin,GPIO45,45,J3-15,input/output,3.3 V,Do not allocate in Rev A,No carrier connection,Espressif ESP32-S3 datasheet
Reserved,Strapping pin,GPIO46,46,J1-14,input/output,3.3 V,Do not allocate in Rev A,No carrier connection,Espressif ESP32-S3 datasheet
Reserved,Onboard RGB LED,GPIO38,38,J3-10,input/output,3.3 V,Leave unused by Dawn Dock to avoid LED contention,No carrier connection,Espressif v1.1 user guide
Unavailable,N8R8 octal PSRAM/flash,GPIO35/36/37,35/36/37,J3-13/J3-12/J3-11,unavailable,3.3 V,N8R8 variant reserves these pins; never connect,No carrier connection,Espressif ordering-code and module documentation
